date,Брой автомобили
2023-02-23,1684
2023-02-24,1832
2023-02-25,1577
2023-02-26,1365
2023-02-27,1683
2023-02-28,1702
2023-03-01,2394
2023-03-02,1750
2023-03-03,1558
2023-03-04,1275
2023-03-05,1330
2023-03-06,1766
2023-03-07,1848
2023-03-08,1953
2023-03-09,1736
2023-03-10,1827
2023-03-11,1699
2023-03-12,1419
2023-03-13,1506
2023-03-14,1703
2023-03-15,1732
2023-03-16,1770
2023-03-17,1893
2023-03-18,1676
2023-03-19,1339
2023-03-20,1624
2023-03-21,1655
2023-03-22,1780
2023-03-23,1816
2023-03-24,1808
2023-03-25,1480
2023-03-26,1276
2023-03-27,1703
2023-03-28,1749
2023-03-29,1787
2023-03-30,1704
2023-03-31,1881
2023-04-01,2037
2023-04-02,1334
2023-04-03,1731
2023-04-04,1789
2023-04-05,1828
2023-04-06,1832
2023-04-07,2031
2023-04-08,1676
2023-04-09,1368
2023-04-10,1811
2023-04-11,1867
2023-04-12,1940
2023-04-13,1852
2023-04-14,1385
2023-04-15,964
2023-04-16,764
2023-04-17,1356
